Date,Open,High,Low,Close,Adj Close,Volume
02/1/2019,1.07,1.094,1.054,1.094,1.094,2234573.02
03/1/2019,1.09,1.1,1.059,1.091,1.091,2720878.24
04/1/2019,1.091,1.113,1.083,1.1,1.1,1680852.46
07/1/2019,1.091,1.113,1.08,1.106,1.106,1280262.44
08/1/2019,1.116,1.153,1.108,1.152,1.152,2281946.19
09/1/2019,1.15,1.209,1.15,1.209,1.209,6331957.21
10/1/2019,1.19,1.217,1.171,1.18,1.18,3048680.61
11/1/2019,1.18,1.188,1.14,1.165,1.165,1908984.85
14/1/2019,1.141,1.142,1.105,1.12,1.12,1822720.74
15/1/2019,1.12,1.136,1.018,1.05,1.05,8688345.58
16/1/2019,1.05,1.057,1.006,1.006,1.006,6796479.69
17/1/2019,1.013,1.031,0.91,0.91,0.91,10116085.75
18/1/2019,0.918,0.952,0.8825,0.95,0.95,9668301.5
21/1/2019,0.959,0.968,0.92,0.93,0.93,3389201.1
22/1/2019,0.92,0.993,0.9105,0.99,0.99,5239125.32
23/1/2019,0.99,0.9975,0.9625,0.968,0.968,1256630.67
24/1/2019,0.9605,0.975,0.934,0.974,0.974,4707242.12
25/1/2019,0.988,1.01,0.943,0.974,0.974,3429980.85
28/1/2019,0.974,0.995,0.9215,0.935,0.935,4455881.59
29/1/2019,0.93,0.935,0.893,0.92,0.92,4653581.95
30/1/2019,0.92,0.935,0.891,0.911,0.911,4001525.58
31/1/2019,0.911,0.9265,0.852,0.873,0.873,6781765.89
01/2/2019,0.847,0.886,0.841,0.87,0.87,5923402.25
04/2/2019,0.889,0.924,0.882,0.89,0.89,5364952.84
05/2/2019,0.898,0.9495,0.895,0.94,0.94,5741944.83
06/2/2019,0.95,0.9785,0.9435,0.945,0.945,5557220.8
07/2/2019,0.94,0.948,0.909,0.92,0.92,5561638.87
08/2/2019,0.915,0.937,0.882,0.924,0.924,3812041.3
11/2/2019,0.924,0.9735,0.9095,0.97,0.97,3116187.04
12/2/2019,0.98,0.998,0.972,0.995,0.995,5116102.46
13/2/2019,1.0,1.005,0.988,0.996,0.996,3905504.56
14/2/2019,0.995,1.043,0.995,1.02,1.02,6625908.02
15/2/2019,1.015,1.04,1.011,1.04,1.04,2550666.44
18/2/2019,1.06,1.105,1.057,1.1,1.1,6283130.06
19/2/2019,1.118,1.16,1.105,1.105,1.105,6321967.29
20/2/2019,1.101,1.127,1.086,1.116,1.116,4464182.37
21/2/2019,1.125,1.148,1.113,1.14,1.14,6950986.59
22/2/2019,1.144,1.15,1.088,1.112,1.112,5643447.17
25/2/2019,1.119,1.191,1.119,1.189,1.189,13941542.04
26/2/2019,1.189,1.199,1.146,1.16,1.16,4768942.29
27/2/2019,1.159,1.178,1.131,1.16,1.16,4097007.96
28/2/2019,1.16,1.257,1.144,1.24,1.24,24107030.88
01/3/2019,1.26,1.295,1.21,1.254,1.254,9047324.34
04/3/2019,1.299,1.315,1.214,1.22,1.22,6912236.62
05/3/2019,1.23,1.24,1.185,1.217,1.217,5277638.33
06/3/2019,1.232,1.274,1.206,1.259,1.259,8243328.71
07/3/2019,1.259,1.304,1.24,1.264,1.264,12539261.48
08/3/2019,1.239,1.242,1.181,1.2,1.2,4316079.41
12/3/2019,1.209,1.28,1.209,1.278,1.278,9319178.61
13/3/2019,1.278,1.317,1.255,1.317,1.317,9223300.66
14/3/2019,1.312,1.392,1.304,1.38,1.38,9763733.13
15/3/2019,1.389,1.409,1.36,1.389,1.389,11127416.62
18/3/2019,1.405,1.428,1.382,1.382,1.382,2920495.47
19/3/2019,1.388,1.398,1.306,1.31,1.31,5260475.49
20/3/2019,1.31,1.343,1.264,1.31,1.31,4146630.21
21/3/2019,1.327,1.364,1.319,1.34,1.34,3043928.15
22/3/2019,1.355,1.355,1.245,1.245,1.245,3415808.29
26/3/2019,1.24,1.255,1.19,1.215,1.215,5711842.47
27/3/2019,1.24,1.263,1.22,1.22,1.22,4848944.92
28/3/2019,1.238,1.244,1.206,1.22,1.22,2449145.74
29/3/2019,1.206,1.234,1.197,1.234,1.234,6086770.42
01/4/2019,1.264,1.377,1.264,1.328,1.328,8995417.32
02/4/2019,1.34,1.358,1.3,1.3,1.3,4233148.61
03/4/2019,1.318,1.375,1.312,1.362,1.362,5836383.08
04/4/2019,1.36,1.369,1.308,1.308,1.308,3505264.2
05/4/2019,1.322,1.399,1.316,1.399,1.399,10263220.39
08/4/2019,1.409,1.418,1.381,1.4,1.4,5851662.31
09/4/2019,1.4,1.468,1.392,1.445,1.445,10044871.54
10/4/2019,1.458,1.458,1.397,1.457,1.457,5800711.81
11/4/2019,1.457,1.499,1.454,1.495,1.495,7369393.57
12/4/2019,1.497,1.502,1.473,1.48,1.48,4745049.13
15/4/2019,1.498,1.532,1.487,1.52,1.52,6610871.5
16/4/2019,1.52,1.521,1.448,1.459,1.459,8781242.76
17/4/2019,1.456,1.467,1.422,1.448,1.448,5704229.78
18/4/2019,1.445,1.474,1.421,1.47,1.47,5126618.44
23/4/2019,1.47,1.501,1.445,1.445,1.445,5634923.25
24/4/2019,1.445,1.46,1.352,1.435,1.435,8463016.77
25/4/2019,1.422,1.46,1.422,1.44,1.44,2454174.62
30/4/2019,1.42,1.436,1.35,1.382,1.382,4863574.74
02/5/2019,1.382,1.401,1.355,1.362,1.362,4861462.53
03/5/2019,1.362,1.381,1.347,1.347,1.347,4637704.63
06/5/2019,1.31,1.32,1.276,1.288,1.288,4861039.91
07/5/2019,1.288,1.326,1.288,1.296,1.296,3393506.82
08/5/2019,1.293,1.293,1.24,1.24,1.24,5681011.18
09/5/2019,1.24,1.24,1.2,1.217,1.217,4842094.72
10/5/2019,1.24,1.251,1.222,1.235,1.235,6405488.4
13/5/2019,1.22,1.228,1.192,1.21,1.21,4270961.89
14/5/2019,1.24,1.286,1.207,1.265,1.265,10582033.66
15/5/2019,1.28,1.285,1.223,1.223,1.223,5029269.15
16/5/2019,1.223,1.238,1.204,1.221,1.221,8315576.15
17/5/2019,1.228,1.235,1.203,1.22,1.22,4942844.92
20/5/2019,1.216,1.226,1.195,1.197,1.197,6345999.35
21/5/2019,1.195,1.242,1.195,1.229,1.229,23839384.78
22/5/2019,1.229,1.264,1.223,1.223,1.223,11469760.52
23/5/2019,1.22,1.24,1.205,1.24,1.24,6797407.84
24/5/2019,1.246,1.246,1.227,1.238,1.238,3529342.53
27/5/2019,1.4,1.456,1.343,1.44,1.44,31883826.24
28/5/2019,1.46,1.53,1.39,1.495,1.495,29461938.44
29/5/2019,1.468,1.52,1.462,1.52,1.52,15600001.37
30/5/2019,1.532,1.61,1.524,1.6,1.6,20110519.17
