Date,Pnt_Open,Pnt_Close
02/1/2019,612.07,605.34
03/1/2019,603.27,607.05
04/1/2019,606.37,615.69
07/1/2019,616.2,620.6
08/1/2019,620.87,626.13
09/1/2019,625.53,638.22
10/1/2019,635.66,633.2
11/1/2019,631.54,635.7
14/1/2019,632.03,629.88
15/1/2019,631.22,622.78
16/1/2019,622.94,622.76
17/1/2019,623.48,616.96
18/1/2019,616.83,617.37
21/1/2019,618.11,619.27
22/1/2019,618.39,630.17
23/1/2019,629.09,631.32
24/1/2019,630.79,632.34
25/1/2019,633.44,633.32
28/1/2019,633.53,630.7
29/1/2019,629.17,635.51
30/1/2019,636.22,635.67
31/1/2019,637.61,634.64
01/2/2019,632.27,641.48
04/2/2019,641.75,647.19
05/2/2019,647.78,652.71
06/2/2019,654.12,654.39
07/2/2019,651.53,645.16
08/2/2019,644.53,649.87
11/2/2019,648.13,654.57
12/2/2019,655.06,655.09
13/2/2019,655.29,656.08
14/2/2019,654.98,654.03
15/2/2019,653.64,655.1
18/2/2019,656.24,667.46
19/2/2019,669.19,666.96
20/2/2019,666.25,671.5
21/2/2019,671.8,677.17
22/2/2019,677.57,676.87
25/2/2019,677.91,686.77
26/2/2019,687.0,692.84
27/2/2019,692.11,695.24
28/2/2019,694.39,707.51
01/3/2019,710.2,712.61
04/3/2019,714.96,704.21
05/3/2019,703.99,698.83
06/3/2019,699.86,707.17
07/3/2019,708.09,704.43
08/3/2019,704.03,696.56
12/3/2019,697.4,703.91
13/3/2019,704.1,710.19
14/3/2019,711.18,719.9
15/3/2019,721.18,722.12
18/3/2019,722.4,725.41
19/3/2019,726.07,714.44
20/3/2019,713.63,715.47
21/3/2019,717.05,717.9
22/3/2019,720.65,708.24
26/3/2019,706.9,712.25
27/3/2019,713.48,713.73
28/3/2019,714.73,713.66
29/3/2019,713.32,721.37
01/4/2019,722.55,741.01
02/4/2019,743.13,743.46
03/4/2019,745.0,749.4
04/4/2019,747.72,745.0
05/4/2019,743.98,754.42
08/4/2019,757.02,753.58
09/4/2019,754.54,753.16
10/4/2019,754.12,755.53
11/4/2019,756.02,764.13
12/4/2019,766.31,765.67
15/4/2019,768.68,773.51
16/4/2019,773.66,775.78
17/4/2019,775.27,773.44
18/4/2019,771.98,778.42
23/4/2019,779.6,776.4
24/4/2019,775.13,772.66
25/4/2019,771.67,772.74
30/4/2019,772.85,773.24
02/5/2019,774.58,775.16
03/5/2019,775.51,774.37
06/5/2019,768.61,754.2
07/5/2019,756.08,758.97
08/5/2019,757.05,743.01
09/5/2019,741.74,728.62
10/5/2019,729.81,736.01
13/5/2019,734.83,724.65
14/5/2019,725.2,732.06
15/5/2019,734.14,722.88
16/5/2019,724.35,726.51
17/5/2019,727.43,729.31
20/5/2019,729.15,717.21
21/5/2019,720.65,733.18
22/5/2019,734.19,731.49
23/5/2019,730.23,725.56
24/5/2019,727.18,732.02
27/5/2019,733.72,776.6
28/5/2019,780.01,794.63
29/5/2019,790.86,793.06
30/5/2019,795.5,818.33
31/5/2019,813.62,830.24
03/6/2019,828.52,836.84
04/6/2019,836.41,813.33
05/6/2019,816.63,821.4
06/6/2019,820.93,816.95
07/6/2019,817.02,815.97
10/6/2019,817.69,842.76
11/6/2019,845.21,845.95
12/6/2019,842.42,843.73
13/6/2019,844.97,850.37
14/6/2019,849.0,847.36
18/6/2019,846.94,853.32
19/6/2019,854.37,844.0
20/6/2019,845.71,836.78
21/6/2019,829.69,838.72
24/6/2019,841.49,849.35
25/6/2019,848.27,846.66
26/6/2019,843.73,852.27
27/6/2019,854.4,859.12
28/6/2019,863.3,868.48
01/7/2019,871.22,874.38
02/7/2019,877.77,874.47
03/7/2019,876.61,891.31
04/7/2019,890.72,892.94
05/7/2019,895.55,894.66
08/7/2019,900.31,878.17
09/7/2019,873.94,840.58
10/7/2019,838.37,861.57
11/7/2019,862.46,863.33
12/7/2019,862.58,858.35
15/7/2019,858.25,851.28
16/7/2019,850.45,855.91
17/7/2019,854.69,868.01
18/7/2019,866.8,870.58
19/7/2019,872.93,867.81
22/7/2019,870.14,864.99
23/7/2019,866.1,869.64
24/7/2019,870.47,874.34
25/7/2019,877.94,885.99
26/7/2019,886.34,890.7
29/7/2019,891.28,895.04
30/7/2019,894.26,889.81
31/7/2019,888.29,899.93
01/8/2019,897.55,895.04
02/8/2019,888.96,885.11
05/8/2019,879.51,851.2
06/8/2019,850.19,844.47
07/8/2019,848.47,837.56
08/8/2019,842.52,846.8
09/8/2019,848.13,840.27
12/8/2019,840.36,831.16
13/8/2019,825.81,818.51
14/8/2019,820.99,798.89
16/8/2019,797.22,792.06
19/8/2019,798.84,828.3
20/8/2019,831.24,829.74
21/8/2019,831.92,832.72
22/8/2019,837.6,845.22
23/8/2019,846.62,831.7
26/8/2019,826.41,828.95
27/8/2019,829.33,831.64
28/8/2019,829.63,843.42
29/8/2019,845.5,858.46
30/8/2019,860.78,868.1
02/9/2019,864.44,860.51
03/9/2019,857.96,853.89
04/9/2019,859.16,854.48
05/9/2019,860.4,874.65
06/9/2019,875.1,869.38
09/9/2019,870.42,858.8
10/9/2019,857.04,849.81
11/9/2019,848.32,857.3
12/9/2019,856.64,850.55
13/9/2019,850.82,856.99
16/9/2019,855.91,867.94
17/9/2019,867.52,861.91
18/9/2019,865.68,872.58
19/9/2019,870.63,873.93
20/9/2019,872.11,876.17
23/9/2019,874.35,862.59
24/9/2019,863.5,868.01
25/9/2019,866.3,862.09
26/9/2019,863.22,866.18
27/9/2019,865.47,870.35
30/9/2019,868.79,868.42
01/10/2019,865.3,861.5
02/10/2019,856.58,835.55
03/10/2019,830.87,822.8
04/10/2019,824.5,824.29
07/10/2019,826.77,829.52
08/10/2019,828.85,824.06
09/10/2019,823.9,831.72
10/10/2019,831.48,839.22
11/10/2019,842.74,855.95
14/10/2019,854.98,855.89
15/10/2019,855.72,858.16
16/10/2019,857.99,858.37
17/10/2019,856.53,859.32
18/10/2019,858.89,862.58
21/10/2019,867.45,861.88
22/10/2019,867.28,873.5
23/10/2019,872.74,873.13
24/10/2019,873.44,873.98
25/10/2019,871.5,872.3
29/10/2019,874.44,873.4
30/10/2019,872.25,875.73
31/10/2019,875.72,882.57
01/11/2019,881.84,880.36
04/11/2019,879.41,879.25
05/11/2019,877.36,873.34
06/11/2019,870.73,859.81
07/11/2019,859.12,869.47
08/11/2019,868.15,864.69
11/11/2019,866.81,855.92
12/11/2019,854.45,866.48
13/11/2019,865.47,870.93
14/11/2019,871.93,889.84
15/11/2019,889.27,885.24
18/11/2019,884.83,888.29
19/11/2019,890.07,893.37
20/11/2019,892.09,890.37
21/11/2019,890.47,883.39
22/11/2019,886.64,891.3
25/11/2019,892.89,898.23
26/11/2019,897.24,891.86
27/11/2019,893.61,895.03
28/11/2019,896.27,899.75
29/11/2019,894.95,901.58
02/12/2019,899.82,892.97
03/12/2019,891.99,881.28
04/12/2019,880.25,888.68
05/12/2019,887.3,878.57
06/12/2019,878.02,873.21
09/12/2019,872.15,863.77
10/12/2019,861.53,861.67
